böse,坏的，不好的，生气,Sie ist böse auf mich.
brauchen,,Brauchst du die Zeitung noch?
breit,宽，平,Wie breit ist der Schrank?
"der Brief, -e",信,Haben Sie einen Brief für mich?
"die Briefmarke, -n",邮票,Kaufst du bitte Briefmarken bei der Post.
bringen,拿来，传达，陪同，带来,Bringen Sie mir bitte noch einen Kaffee!/Wir müssen ihn zum Arzt bringen.
"das Brot, -e",,Haben Sie auch Weißbrot?/Nimm noch ein paar Brote für die Fahrt mit.
"das Brötchen, –",,Möchtest du Brötchen zum Frühstück?
"der Bruder, -ü",,Sein Bruder arbeitet auch hier.
"das Buch, -ü, er",,Gute Bücher sind oft sehr teuer./In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.
"der Buchstabe, -n",字母,Diesen Buchstaben gibt es in meiner Sprache nicht.
buchstabieren,拼写，拼读,Bitte buchstabieren Sie Ihren Namen.
"der Bus, -se",,Wann kommt der nächste Bus?
die Butter,,Für mich bitte ein Brötchen mit Butter und Käse.
"das Café, -s",,Sollen wir uns im Café treffen?
"die CD, -s",,Bring bitte deine Lieblings-CD mit.
der Chef,,Wir haben eine neue Chefin.
circa/ca.,大约,Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.
"der Computer, –",,Wann bekommst du deinen neuen Computer?
da,,Da hinten ist er ja./Wir sprechen gerade über Paul. Da kommt er ja gerade./Ich nehme das da./Ist Herr Klein schon da?
"die Dame, -n",,Damen (an der Toilette)/Sehr geehrte Damen und Herren!
daneben,在旁边,Du kennst doch die Post. Daneben ist die Bank.
danken,感谢，答谢,Ich danke Ihnen für die Einladung.
der Dank,,Vielen Dank!/Herzlichen Dank!
danke,谢谢,"Soll ich Ihnen helfen? - Nein, danke!"
dann,,"Ich muss noch schnell zur Post, dann komme ich."
das Datum,,Bitte schreiben Sie noch das Datum auf das Formular.
dauern,持续，坚持,Wie lange dauert der Film?
dein-,,Ist das dein Auto?/Ist das deins?
denn,,"Ich kann nicht kommen, denn ich bin krank."
"der, die, das",,"Ich nehme das da./Hier ist der Brief, den du suchst./Die Fahrkarte bekommst du am Bahnhof."
dich,,Die Blumen sind für dich.
dies-,,Ich nehme lieber diesen Kuchen.
dir,,Gefallen dir die Blumen?
die Disco,,Heute abend gehen wir in die Disco tanzen.
der Doktor,,Meine Tochter ist krank. Wir gehen zum Doktor.
das Doppelzimmer,双人房，标间,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?
"das Dorf, -ö, er",乡村,Meine Familie lebt in einem Dorf.
"dort, -her, -hin",,Deine Tasche kannst du dorthin stellen./Dort ist unser Haus.
draußen,外面，远方,Wollen wir draußen sitzen?
drucken,印刷，打印,Bitte drucke das Formular für mich.
"der Drucker, –",,Mein Drucker ist kaputt.
drücken,压，挤压，按,"Drück hier, dann geht der Computer an."
durch,,Am besten gehen Sie durch die Breite Straße.
"die Durchsage, -n",广播通知，电话通知,Ich habe die Durchsage nicht verstanden.
dürfen,,Sie dürfen hier nicht rauchen./Darf ich Sie zu einem Kaffee einladen?/Es darf nicht mehr als 15 Euro kosten.
der Durst,口渴，渴望,Hast du etwas zu trinken? Ich habe großen Durst.
(sich) duschen,淋浴,"Ich bade nicht so gern, ich dusche lieber."
die Dusche,淋浴，淋浴装置,Unsere Wohnung hat nur eine Dusche.
"die Ecke, -n",角，角落,An der nächsten Ecke links.
"die Ehefrau, -en/",,
"der Ehemann, ä, er",,Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.
"das Ei, -er",,Möchtest du ein Ei zum Frühstück?
eilig,紧急的，匆忙的,Hast du es eilig?
ein-,,"Ich nehme ein Bier. Willst du auch eins?/Ist hier einer, der das kann?"
einfach,简单，容易，单一,"Die Prüfung ist ganz einfach./Hin und zurück? – Nein, bitte nur einfach./Ich brauche nur ein einfaches Zimmer."
der Eingang,入口,Der Eingang ist um die Ecke.
einkaufen,采购，买东西,Ich muss noch für morgen einkaufen.
einladen,,Darf ich Sie zu einem Kaffee einladen?
die Einladung,,Danke für die Einladung!
einmal,一次,Diese Prüfung mache ich nicht noch einmal.
einsteigen,登上,"Schnell, steig ein, der Zug fährt gleich."
der Eintritt,入场，加入,Der Preis für den Eintritt ist 5 Euro.
das Einzelzimmer,单人房间,Haben Sie noch ein Einzelzimmer?
die Eltern (pl.),,Meine Eltern leben in Spanien.
"die E-Mail, -s",,Ich habe Ihre E-Mail nicht bekommen.
"der Empfänger, –",收件人,"Auf dem Brief steht dein Name, also bist du der Empfänger."
empfehlen,介绍，推荐,Welchen Wein können Sie mir empfehlen?
enden,到头，结束,Die Straße endet hier.
das Ende,,Sie wohnt am Ende der Straße./Er bekommt sein Geld am Ende des Monats.
entschuldigen,,Entschuldigen Sie bitte!
die Entschuldigung,,Entschuldigung! – Bitte.
er,,Er heißt Ali.
"das Ergebnis, -se",结果，成绩,Das Ergebnis des Tests bekommen Sie in zwei Wochen.
erklären,说明，解释,Kannst du mir das erklären?
erlauben,允许，同意,Rauchen ist hier nicht erlaubt.
"der Erwachsene, -n",成年人,Dieser Film ist nur für Erwachsene.
erzählen,讲述，告知,Wir müssen euch etwas erzählen!
es,,Es regnet.
essen,,Was gibt es zu essen?
das Essen,,Das Essen ist heute sehr gut.
euer,,Euer Kurs beginnt heute.
fahren,,Ich fahre mit dem Auto zur Arbeit.
der Fahrer,驾驶员,Bitte nicht mit dem Fahrer sprechen!
"die Fahrkarte, -n",票,Hast du schon eine Fahrkarte?
"das Fahrrad, -ä, er",,Fährst du mit dem Fahrrad oder mit dem Auto?
falsch,,Das ist falsch.
"die Familie, -n",,Meine Familie lebt in Spanien.
der Familienname,,Meine Familiennamen sind García González.
der Familienstand,婚姻状况,Bei Familienstand musst du ledig ankreuzen.
"die Farbe, -n",,Die Farbe gefällt mir gut.
"das Fax, -e",,Schicken Sie uns einfach ein Fax!
Feier-,纪念，庆祝,"z. B. Feierabend, Feiertag/Am Montag ist Feiertag."
feiern,,Wir feiern heute meinen Geburtstag.
fehlen,,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen./Was fehlt Ihnen?"
"der Fehler, –",错误，偏差,Diesen Fehler mache ich immer.
fernsehen,,Wollen wir heute Abend mal fernsehen?
fertig,完成，准备好,Bist du fertig?/Ist mein Auto schon fertig?
das Feuer,火,Haben Sie Feuer?
das Fieber,,Mein Mann hat noch immer Fieber.
"der Film, -e",,Ich möchte gern diesen Film sehen.
finden,找到，捡到,Wir müssen den Schlüssel finden.
die Firma,,Er arbeitet jetzt bei einer anderen Firma.
"der Fisch, -e",,Ich esse gern Fisch. Fleisch mag ich nicht.
"die Flasche, -n",,"Eine Flasche Bier, bitte."
das Fleisch,,Fleisch mag ich nicht.
fliegen,飞行,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.
abfliegen,起飞，飞走,Wann fliegst du ab?
der Abflug,起飞，飞走,Der Abflug ist um 11.20 Uhr.
der Flughafen,,Kannst du mich zum Flughafen bringen?
das Flugzeug,飞机,Das Flugzeug aus Berlin kommt heute später an.
"das Formular, -e",,Sie müssen dieses Formular ausfüllen.
"das Foto, -s",,Darf ich ein Foto machen?
fragen,问，打听,Er möchte Sie etwas fragen. Wann kommen Sie?
"die Frage, -n",,Ich habe eine Frage.
"die Frau, -en",,"Das ist Frau Becker./Guten Tag, Frau Schmitt!/Hier arbeiten mehr Frauen als Männer."
frei,,Ist der Platz noch frei?
die Freizeit,,In meiner Freizeit spiele ich oft Fußball.
fremd,外国，别人，陌生人,Das weiß ich nicht; ich bin fremd hier.
(sich) freuen,感到高兴，期待,Ich freue mich auf den Urlaub.
"der Freund, -e",,Das ist ein Freund von mir./Das ist meine Freundin.
früher,以前，过去,Früher waren wir oft zusammen im Kino.
frühstücken,吃早饭,Am Sonntag frühstücke ich gern im Bett.
das Frühstück,,Möchtest du ein Ei zum Frühstück?
die Führung,领导，导游，游览,Die Führung durch das Haus beginnt in 3 Minuten.
für,,Das ist für Sie./Das ist der Schlüssel für die Haustür./Das ist das Brot für morgen.
"der Fuß, -ü, e",,Der linke Fuß tut mir weh.
der Fußball,,Spielt ihr gerne Fußball?
der Garten,,Wir haben leider keinen Garten.
"der Gast, -ä, e",,Am Wochenende haben wir mehrere Gäste.
geben,给，赠与,Kannst du mir bitte deinen Kugelschreiber geben?/Es gibt keine Karten mehr.
geboren,,Ich bin in Zagreb geboren.
das Geburtsjahr,,"Das Geburtsjahr Ihres Sohnes, bitte?"
der Geburtsort,出生地,Bitte schreiben Sie Ihren Geburtsort auf das Formular.
der Geburtstag,,Herzlichen Glückwunsch zum Geburtstag!
gefallen,,Das gefällt mir.
gegen,朝，向,Fahr nicht gegen den Baum!/Ich bin gegen diese Lösung./Wer spielt gegen wen?
gehen,,"Ich weiß nicht, wie das geht./Wie geht‘s?/Jetzt muss ich (aber) leider gehen./Ich muss zum Arzt gehen./Das geht nicht!"
gehören,属于,Wem gehört das?
das Geld,,Hast du noch Geld?
das Gemüse,,Gemüse brauchen wir auch noch.
das Gepäck,行李，包裹,Wollen Sie Ihr Gepäck mitnehmen?
gerade,,Da kommt er ja gerade.
geradeaus,,Gehen Sie immer geradeaus!
gern(e),,Ich gehe gerne einkaufen.
"das Geschäft, -e",销售，生意,Die Geschäfte schließen um 18.30 Uhr.
"das Geschenk, -e",礼物，礼品,Danke für das schöne Geschenk.
die Geschwister (pl.),,Ich habe leider keine Geschwister.
"das Gespräch, -e",谈话,Das Gespräch mit Frau Kunz ist um 14 Uhr.
gestern,,Gestern war ich krank.
gestorben,去世,Meine Frau ist gestern gestorben.
"das Getränk, -e",,Mein Lieblingsgetränk ist Tomatensaft.
das Gewicht,重量,Bei Gewicht schreibst du: 62 Kilo.
gewinnen,得到，胜利,Wer gewinnt das Spiel?
"das Glas, -ä, er",,Bitte noch ein Glas Wein!/Wir brauchen noch drei Gläser.
glauben,以为，相信,"Sie können mir glauben, es ist so./Ich glaube, er kommt gleich."
gleich,一样。立即,Das ist mir gleich./Das ist der gleiche Preis./Ich komme gleich.
"das Gleis, -e",,Der ICE nach Berlin hält heute an Gleis 12.
das Glück,幸福，运气,Viel Glück!
glücklich,幸福的,Meine Kinder sind glücklich verheiratet.
der Glückwunsch,庆祝，祝贺,Herzlichen Glückwunsch zum Geburtstag.
Grad (Celsius),度数,Heute haben wir dreißig Grad.
gratulieren,,Ich gratuliere dir!
grillen,烧烤,Heute grillen wir im Garten.
groß,,Mein Bruder und ich sind gleich groß./Frankfurt ist eine große Stadt.
die Größe,,Haben Sie das auch in Größe 40?
die Großeltern (pl.),,Meine Großeltern leben in Japan.
die Großmutter,,Meine Großmutter heißt Eva.
der Großvater,,Mein Großvater ist schon 80.
"die Gruppe, -n",团体，组,Die erste Gruppe beginnt um 16 Uhr.
"der Gruß, -ü, e",,Viele Grüße an Ihre Frau./Mit freundlichen Grüßen
gültig,通用的，有效的,Der Pass ist nicht mehr gültig.
günstig,好意的，便宜的,Dort gibt es günstige Angebote.
gut,,Das finde ich gut./Ich komme um 13 Uhr. – Gut!/Guten Morgen!/Ein gutes neues Jahr!/Guten Appetit!
"das Haar, -e",毛，头发,Sie hat lange Haare.
haben,,Ich habe ein neues Auto.
"das Hähnchen, -",小鸡,Ein Hähnchen mit Pommes bitte!
die Halbpension,半食宿,Möchten Sie Vollpension oder Halbpension?
die Halle,大厅,Wir treffen uns in Halle B
hallo,,Hallo Inge! Wie geht’s?
halten,拿着 ，保持，停,Dieser Zug hält nicht in Rüdesheim.
die Haltestelle,,An der nächsten Haltestelle müssen Sie aussteigen.
"die Hand, -ä, e",,Er gibt mir die Hand.
"das Handy, -s",,In der Schule bitte die Handys ausmachen!
"das Haus, -ä, er",,In welchem Haus wohnst du?/Ich gehe jetzt nach Hause./Paul ist nicht zu Hause.
"die Hausaufgabe,-n",家庭作业,Kannst du mir bei den Hausaufgaben helfen?
"die Hausfrau, -en/",,"Die Hausfrau/der Hausmann wäscht, kocht und kauft ein."
der Hausmann,,
die Heimat,家乡，故乡,Ich komme aus der Schweiz. Das ist meine Heimat.
heiraten,结婚,Meine Schwester heiratet einen Japaner.
heißen,,Ich heiße Charlotte Meier./Wie heißt das auf Deutsch?
helfen,,"Können Sie mir helfen, bitte?"
hell,光亮，明亮,Im Sommer ist es bis 21 Uhr hell.
der Herd,,In der neuen Küche fehlt noch der Herd.
"der Herr, -en",,"Guten Tag, Herr Sommer!"
herzlich,,Herzlichen Glückwunsch!
heute,,Heute ist ein schöner Tag.
hier,,"Hier ist 06131-553221, Pamela Linke./Hier wohne ich."
die Hilfe,,Hilfe! Bitte helfen Sie mir!/Brauchen Sie meine Hilfe?
hinten,背面,Die Tür zum Aussteigen ist hinten.
"das Hobby, -s",,Meine Hobbys sind Wandern und Schwimmen.
hoch,,Der Mount Everest ist 8.880 Meter hoch.
die Hochzeit,,Zur dieser Hochzeit kommen mehr als fünfzig Gäste.
holen,接，取，拿,Ich hole zwei Flaschen Wasser aus der Küche.
hören,,Hör mal! Was ist das?/Ich habe das Lied schon mal gehört.
"das Hotel, -s",,Im Urlaub sind wir in einem Hotel am Meer.
"der Hund, -e",,Der Hund ist noch jung.
der Hunger,,Ich habe Hunger! Wann ist das Essen fertig?
ich,,Ich heiße Veronika.
ihr/ihm/ihn,,Gib ihr/ihm bitte das Buch./Ruf ihn bitte an.
immer,"始终,经常,总是,老是 ",Frau Bast kommt immer zu spät.
in,,"Ich wohne in Wiesbaden./Der Zug kommt in fünf Minuten./Frau Rausch arbeitet in einem Geschäft./Komm, wir gehen ins Kino."
"die Information, -en",,"Wenn Sie Fragen haben, gehen Sie zur Information./Wir haben hier wichtige Informationen für Sie."
international,,"Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China …"
das Internet,,Das findest du im Internet.
ja,,Sind Sie Herr Watanabe? – Ja.
"die Jacke, -n",,Zieh dir eine Jacke an. Es ist kalt.
jed-,每个,Blumen kannst du in jedem Bahnhof kaufen.
jetzt,,Jetzt machen wir eine Pause.
"der Job, -s",,Jenny hat einen neuen Job bei der Post.
"der Jugendliche, -n",青年人,Viele Jugendliche kaufen gern ein.
jung,,Claudia ist 21. – Was? Noch so jung?
"der Junge, -n",,Ich habe zwei Kinder. Einen Jungen und ein Mädchen.
der Kaffee,,Zum Frühstück trinke ich immer Kaffee.
kaputt,,Das Glas war teuer. Es geht sehr leicht kaputt.
"die Karte, -n",,"Ich schreibe meinen Bekannten eine Karte aus dem Urlaub./Wollen wir Karten spielen?/Ich möchte auch etwas essen. Bringen Sie mir die Karte,
bitte."
"(Kredit)-Karte, -n",,Kann ich auch mit Karte (be-) zahlen?
"die Kartoffel, -n",,Für Pommes frites braucht man Kartoffeln.
die Kasse,收银台,Zahlen Sie bitte an der Kasse.
kaufen,,Tim kauft sich ein neues Auto.
kein,,Es gibt keine Eintrittskarten mehr.
kennen,,"Kennen Sie diese Frau? – Nein, leider nicht."
kennenlernen,认识，结识,Wir sind neu hier. Wir möchten Sie kennenlernen.
"das Kind, -er",,Wie viele Kinder haben Sie?
der Kindergarten,,Die kleine Laura geht schon in den Kindergarten.
"das Kino, -s",,Wir sehen heute Abend im Kino einen schönen Film.
der Kiosk,售货亭,"Am Kiosk bekommen Sie Getränke, Zigaretten und Zeitungen."
klar,,Kommst du mit? – Klar!
die Klasse,,In unserer Klasse sind fünfundzwanzig Schüler./Im Zug fahre ich immer 2. Klasse.
die Kleidung,,"Wo finde ich Kleidung? – Jacken im ersten, Jeans im zweiten Stock."
klein,,Eltville ist eine kleine Stadt am Rhein.
kochen,烹饪，做菜,Herr Georgi kann gut kochen.
"der Koffer, –",箱子，行李箱,Ist das Ihr Koffer?
"der Kollege, -n",,Wie heißt die neue Kollegin?
kommen,,Woher kommen Sie? – Aus Frankreich./Kommst du mit ins Schwimmbad?
können,,Ich kann Deutsch und Russisch./Können Sie mir helfen?
das Konto,账目，账户,Das Geld überweisen wir am ersten März auf Ihr Konto.
der Kopf,,Mein Kopf tut weh!
kosten,,Wie viel kostet das? – 10 Euro.
krank,,"Ich kann heute nicht zur Arbeit kommen, ich bin krank und liege im Bett."
kriegen,得到，获得,Ich kriege 15 Euro in der Stunde für meine Arbeit.
die Küche,,Der neue Herd kommt in die Küche.
der Kuchen,,Ich nehme ein Stück Kuchen.
der Kugelschreiber,,Hast du einen Kugelschreiber für mich?
der Kühlschrank,,"Haben wir noch Milch? – Ja, im Kühlschrank."
kulturell,文化的,Ich bin kulturell interessiert. Ich gehe oft ins Museum.
sich kümmern,关心，操心,Jede Mutter kümmert sich um ihre kleinen Kinder.
"der Kunde, -n",顾客,"Einen Moment, bitte. Ich habe eine Kundin."
"der Kurs, -e",,Der Deutschkurs geht bis zum Sommer.
kurz,,Ricardo hat kurzes Haar.
lachen,笑,Die Kinder lachen viel.
"der Laden, -ä",邀请,Im Buchladen können Sie Bücher kaufen.
"das Land, -ä, er",,Italien ist ein schönes Land.
lang,,Die Jeans ist zu lang.
lange,,Wie lange fährt der Zug von Hamburg nach Berlin?
langsam,,Könnten Sie bitte etwas langsamer sprechen?
laufen,奔跑，走路,"Ich möchte nicht Auto fahren, ich möchte laufen."
laut,,Nicht so laut! Das Baby schläft.
leben,,Sie lebt bei ihrer Schwester./Ihre Eltern leben nicht mehr
das Leben,生命，生活,Das Leben in diesem Land ist teuer.
die Lebensmittel(pl.),食品,Lebensmittel bekommen Sie im Supermarkt.
ledig,单身的，未婚的,Sind Sie verheiratet? – Nein. Ledig.
legen,,Legen Sie das Buch auf den Tisch.
"der Lehrer, –",,Unsere Deutschlehrerin heißt Frau Müller.
leicht,容易，轻的,Der Koffer ist leicht./Deutsch ist nicht leicht.
leider,"可惜,遗憾,不幸",Leider kann ich nicht kommen. Ich muss zum Arzt.
leise,小声，,Seid leise. Die anderen schlafen schon.
lernen,,Wie lange lernen Sie schon Deutsch?
lesen,,Ich lese ein Buch von García Márquez.
letzt-,最后的,Morgen ist der letzte Kurstag.
die Leute (pl.),人，人们,In der Disko sind viele Leute.
das Licht,灯，光,Wo macht man hier das Licht an?
lieb-,,"Liebe Susanne, lieber Hans,"
lieben,,Ich liebe dich!
lieber,更喜欢，比较级,Sie fährt lieber mit der Bahn.
Lieblings-,最喜欢的,Mein Lieblingsfilm ist Schwarze Augen.
"das Lied, -er",歌曲,Welches ist dein Lieblingslied?
liegen,,Um neun Uhr liegt Judith noch im Bett./Frankfurt liegt am Main.
links,,Gehen Sie die nächste Straße links.
"der Lkw, -s",载重汽车,Dieser Lastkraftwagen ist sehr groß.
das Lokal,当地的，本地的,In unserer Straße gibt es ein neues Lokal.
"die Lösung, -en",解答，答案,Die Lösung ist ganz einfach.
lustig,有趣的,Frau Mertens ist lustig. Sie lacht immer.
machen,,Was machst du heute Abend?/Ich muss jetzt das Essen machen./Das macht 5 Euro 95./Das macht nichts.
"das Mädchen, –",女孩,Familie Kurz bekommt ein Baby. – Junge oder Mädchen?
man,,Hier darf man nicht rauchen.
"der Mann, -ä, er",,Mein Mann arbeitet bei der Polizei.
männlich,男性,Kreuzen Sie bitte an: weiblich oder männlich.
"die Maschine, -n",,Die Waschmaschine ist günstig.
das Meer,,Wir machen Urlaub am Meer.
mehr,,Dieses Auto kostet 1.000 Euro mehr als das andere.
mein,,Mein Vater ist Arzt.
meist-,大多数的，大部分的,Die meisten Norddeutschen sind sehr groß.
"der Mensch, -en",,Die Menschen sind hier anders als bei uns.
mieten,租，租用,Ich möchte ein Auto mieten.
die Miete,,Die Miete für diese Wohnung ist 600 Euro.
die Milch,,Die Milch steht im Kühlschrank.
